ID,X,Y,Z
98,-0.42782545,4.9974413,8.647389
99,0.59637,4.719846,8.798098
100,0.39107603,4.66514,8.90224
101,0.112881765,5.0572934,8.816412
102,0.033996202,5.0310774,8.552702
103,0.0059852484,4.728345,8.8897915
104,0.20601217,4.7581515,8.815815
105,0.13406953,4.935912,8.715502
106,0.15741201,4.935195,8.807793
107,0.15585582,4.7921476,8.802767
108,0.13885772,4.7418714,8.888354
109,0.13514689,4.681182,8.858668
110,0.03423561,4.563631,8.998962
111,0.037946463,4.5261636,8.954193
112,0.071942665,4.4919276,8.969515
113,-0.060091875,4.6261168,8.926062
114,0.08115995,4.719726,8.875068
115,0.033876494,4.781972,8.818688
116,0.005506427,4.935914,8.844662
117,-0.044410527,4.91269,8.77308
118,0.0991157,4.7702417,8.836522
119,0.082357004,4.7617435,8.796541
120,-0.023103055,4.8323684,8.7890005
121,-0.10677681,4.9715853,8.711791
122,-0.6982389,5.4326887,8.4283285
123,-0.42519197,5.194716,8.472021
124,0.010653736,4.967755,8.776789
125,-0.03902381,5.1109214,8.64296
126,0.08750431,5.1933985,8.562878
127,0.13730155,4.9638047,8.756799
128,0.17955741,4.9600935,8.724479
129,0.13203456,4.926337,8.760989
130,0.12664782,4.9034734,8.773796
131,0.1137197,4.889587,8.795344
132,0.12772515,4.8498454,8.79666
133,0.20888512,4.8425436,8.806237
134,0.20661072,4.8475714,8.84155
135,0.1526238,4.836318,8.775952
136,0.14843413,4.8559504,8.808392
137,0.18231061,4.861577,8.8057575
138,0.22229204,4.7449846,8.815216
139,0.05961305,4.802682,8.855196
140,0.46014577,4.524248,9.00004
141,0.2986638,4.566863,8.901403
142,0.3762326,4.5724897,8.919599
143,0.41884762,4.5401692,8.943419
144,-0.20110428,4.910775,8.916965
145,0.33852562,4.5987043,8.90284
146,1.1755024,3.7398212,9.567921
147,0.023102993,-2.3058763,9.573906
148,2.3051581,-0.8348223,9.852818
149,-0.094088085,-0.09624283,9.753462
150,-0.16399577,0.33409646,9.938526
151,-0.17129776,0.31829542,9.935295
152,-0.15370113,0.3226048,9.94116
153,-0.16375634,0.33768755,9.939245
154,0.50479573,6.127097,6.949734
155,0.61013603,5.6853857,7.8966002
156,0.036749415,5.697356,8.094113
157,-0.12245815,5.514208,8.529839
158,-0.110487655,6.221664,8.112069
159,-0.1380198,5.0712996,10.441526
160,-0.0015561637,5.6746125,7.5757914
161,-0.4995287,5.643489,8.874588
162,0.83757544,5.110802,9.708933
163,-0.9867278,5.4184437,8.766854
164,0.1696219,5.806288,8.137207
165,-1.4320302,5.0210238,9.160684
166,1.1152909,3.4349332,9.746041
167,0.12892222,4.837875,7.8319597
168,0.8555312,5.430414,8.650741
169,0.62330365,5.520193,8.320355
170,1.0410738,5.9654956,7.958847
171,0.87827516,5.8026967,7.8116097
172,0.6628063,5.6398983,8.733337
173,0.55986,5.9056435,7.8786445
174,0.61013603,5.2927537,8.0187
175,-0.63000715,6.6454196,7.683525
176,-0.49593756,6.346157,7.7768955
177,-0.37503558,6.4730444,7.943285
178,-0.16315784,6.5843697,8.035458
179,-0.32835066,6.6226754,7.460874
180,-0.53304607,6.6322517,7.3579283
181,-0.61085427,6.485015,7.7637277
182,-0.5773369,6.6035223,7.934906
183,-0.06619683,6.5735965,7.497983
184,-0.005147312,6.6992865,7.5171356
185,-0.16674899,6.6992865,7.5171356
186,-0.2589218,6.799839,7.610505
187,-0.1308375,6.8860264,7.410598
188,0.09540483,6.821386,7.229844
189,0.03076417,6.5269117,7.621279
190,0.08104024,6.03253,7.672752
191,0.16842484,6.684922,7.1795673
192,-0.27089226,6.5209265,7.7326045
193,-0.4217205,6.2396197,8.183891
194,-0.43488804,6.1366735,7.780486
195,-0.7461208,6.1977234,8.137207
196,-0.84068775,6.3593245,7.596141
197,-0.58332217,6.415586,7.336381
198,-0.41812932,6.214482,7.8822355
199,-0.16315782,6.1199145,7.865477
200,-0.7365445,6.340172,7.68592
201,-1.0154569,6.4287534,7.7828803
202,-0.6371894,6.434739,7.865477
203,-0.3594739,6.3030634,7.9361024
204,-0.23258668,6.2264524,7.6966925
205,-0.8119586,3.9712112,13.351554
206,-0.49354345,4.792387,9.046964
207,-0.37264147,5.044965,8.428089
208,-0.4672084,4.81154,8.959579
209,0.8818663,5.8661404,8.358661
210,0.13490745,5.7093267,8.307188
211,-1.7300954,6.501774,7.14605
212,-1.8114948,6.414389,7.6356435
213,-1.4835033,6.037318,7.752954
214,-0.086546674,5.327468,8.498716
215,-0.079364374,5.863746,8.48435
